הרכב מדד -  משקל ני''ע ת"א-125,,,,,,,,,,,,,,,,,,
נכון ל- 20/12/2018
שם,סימול ,מס' ני''ע,ISIN,משקל (%),שווי שוק (במיליוני ש''ח),שער בסיס (באגורות),שער נעילה (באגורות),יום אקס,מחזור יומי ממוצע בחצי שנה אחרונה (ש''ח),חציון מחזור יומי בחצי שנה אחרונה (ש''ח),הון רשום למסחר,אחוז החזקות ציבור,אחוז החזקות הציבור למדד,ממ''מ,כמות מניות צפה למדד,פקטור משקל,שווי החזקות הציבור במיליוני ש''ח,מועד עדכון ממ''מ אחרון
אפקון החזקות,אפהח,578013,IL0005780130,0.11345,827,18050.00,17570.0000,לא,618131,236144,4580037,37.98,45.00,4580037.00,2061016.65,1,306,09/12/2018
אשטרום קבוצה,אשקב,1132315,IL0011323156,0.10950,1436,1739.00,1722.0000,לא,898129,381873,82587598,30.02,25.00,82587598.00,20646899.50,1,427,09/12/2018
מבטח שמיר,מבשמ,127019,IL0001270193,0.10850,593,6229.00,6100.0000,לא,304455,147997,9519696,51.03,60.00,9519696.00,5711817.60,1,296,09/12/2018
איסתא,אסתא,1081074,IL0010810740,0.10831,789,5949.00,5888.0000,לא,497957,243754,13266668,38.42,45.00,13266668.00,5970000.60,1,300,09/12/2018
ארד,ארד,1091651,IL0010916513,0.10601,993,4016.00,3993.0000,לא,526243,292039,24730728,30.22,35.00,24730728.00,8655754.80,1,298,09/12/2018
דמרי,דמרי,1090315,IL0010903156,0.10223,958,5340.00,5262.0000,לא,370687,256787,17935205,33.02,35.00,17935205.00,6277321.75,1,312,09/12/2018
מיטב דש,מטדש,1081843,IL0010818438,0.09865,719,1055.00,1031.0000,לא,432044,269988,68152022,38.06,45.00,68140366.00,30663164.70,1,267,09/12/2018
אזורים,אזרם,715011,IL0007150118,0.09798,714,338.80,330.1000,לא,299430,195974,210740327,35.41,45.00,210740327.00,94833147.15,1,246,09/12/2018
בי קומיונקיישנס,בקומ,1107663,IL0011076630,0.09647,703,2352.00,2170.0000,לא,1301334,877802,29889045,35.18,45.00,29889045.00,13450070.25,1,228,09/12/2018
לוינשטין נכסים,לשנכ,1119080,IL0011190803,0.09624,902,6261.00,6087.0000,לא,401168,109317,14401750,30.13,35.00,14401750.00,5040612.50,1,264,09/12/2018
אטראו שוקי הון,אטרא,1096106,IL0010961063,0.09437,516,3503.00,3451.0000,לא,427339,204850,14723520,47.46,60.00,14723520.00,8834112.00,1,241,09/12/2018
פמס,פמס,315010,IL0003150104,0.09412,882,9590.00,9496.0000,לא,756810,454225,9194936,32.21,35.00,9194936.00,3218227.60,1,281,09/12/2018
דור אלון,דראל,1093202,IL0010932023,0.09260,868,5464.00,5395.0000,לא,518766,346093,15877822,30.07,35.00,15877822.00,5557237.70,1,258,09/12/2018
מלם תים,מלתם,156018,IL0001560189,0.08761,821,37490.00,36240.0000,לא,476703,251170,2189523,30.05,35.00,2189523.00,766333.05,1,238,09/12/2018
אדגר,אדגר,1820083,IL0018200837,0.08237,772,585.30,568.7000,לא,377239,181992,131853224,34.13,35.00,131853224.00,46148628.40,1,256,09/12/2018
הכשרת הישוב,הכשרה,612010,IL0006120104,0.08173,766,2715.00,2673.0000,לא,268134,201018,28201677,32.41,35.00,28201677.00,9870586.95,1,244,09/12/2018
קליל,קליל,797035,IL0007970358,0.07776,567,24190.00,23830.0000,לא,724257,426341,2342522,35.13,45.00,2342522.00,1054134.90,1,196,09/12/2018
ספאנטק,ספנטק,1090117,IL0010901176,0.07603,712,1075.00,1069.0000,לא,823228,436220,66262182,30.39,35.00,66262182.00,23191763.70,1,215,09/12/2018
תדיראן הולדינגס,תדראן,258012,IL0002580129,0.07162,671,7887.00,7795.0000,לא,639085,370875,8507753,30.05,35.00,8507753.00,2977713.55,1,199,09/12/2018
ישראל קנדה,ישקנ,434019,IL0004340191,0.06884,645,267.60,263.2000,לא,300225,226992,241018169,34.50,35.00,241018169.00,84356359.15,1,219,09/12/2018
צור,צור,730010,IL0007300101,0.06716,893,1379.00,1371.0000,לא,335404,182816,64727384,30.06,25.00,63877384.00,15969346.00,1,267,09/12/2018
שלאג,שלאג,1090547,IL0010905474,0.06244,455,1238.00,1220.0000,לא,222555,134881,36755000,39.37,45.00,36755000.00,16539750.00,1,177,09/12/2018
